Entity,Code,Day,2021,2020,"Projected, 2020",2015,2016,2017,2018,2019,2022,2023
San Marino,SMR,2020-01-31,22,23,24.4,27,16,25,28,23,33,28
San Marino,SMR,2020-02-29,32,26,22.8,17,27,33,19,15,22,29
San Marino,SMR,2020-03-31,36,50,21.8,19,19,27,23,18,19,29
San Marino,SMR,2020-04-30,28,31,23.2,24,25,19,19,26,19,21
San Marino,SMR,2020-05-31,21,25,20.8,20,15,19,24,23,23,17
San Marino,SMR,2020-06-30,20,29,22,24,21,27,11,24,22,12
San Marino,SMR,2020-07-31,24,24,19.6,19,18,24,12,22,22,19
San Marino,SMR,2020-08-31,22,21,21,16,20,22,22,22,24,23
San Marino,SMR,2020-09-30,23,18,20.4,21,14,27,19,18,15,19
San Marino,SMR,2020-10-31,26,25,19.8,10,23,22,24,17,25,27
San Marino,SMR,2020-11-30,23,26,21.6,20,23,10,25,27,19,28
San Marino,SMR,2020-12-31,35,45,22,18,32,23,18,16,20,27
Scotland,,2020-01-05,1720,1161,,1146,1394,1205,1531,1104,1231,1536
Scotland,,2020-01-12,1550,1567,,1708,1305,1379,1899,1507,1517,2052
Scotland,,2020-01-19,1559,1322,,1489,1215,1224,1629,1353,1347,1733
Scotland,,2020-01-26,1604,1226,,1381,1187,1197,1610,1208,1261,1440
Scotland,,2020-02-02,1506,1188,,1286,1205,1332,1369,1206,1260,1351
Scotland,,2020-02-09,1412,1216,,1344,1217,1200,1265,1243,1238,1330
Scotland,,2020-02-16,1422,1162,,1360,1209,1231,1315,1181,1158,1289
Scotland,,2020-02-23,1325,1162,,1320,1239,1185,1245,1245,1190,1314
Scotland,,2020-03-01,1204,1171,,1308,1150,1219,1022,1125,1192,1245
Scotland,,2020-03-08,1145,1208,,1192,1174,1146,1475,1156,1222,1304
Scotland,,2020-03-15,1114,1198,,1201,1175,1141,1220,1108,1267,1311
Scotland,,2020-03-22,1097,1196,,1149,1042,1152,1158,1101,1248,1374
Scotland,,2020-03-29,972,1079,,1171,1172,1112,1050,1086,1271,1263
Scotland,,2020-04-05,1058,1744,,1042,1166,1060,1192,1032,1236,1125
Scotland,,2020-04-12,1131,1978,,1192,1048,998,1192,1069,1051,1267
Scotland,,2020-04-19,1112,1916,,1095,1092,1111,1136,902,1256,1263
Scotland,,2020-04-26,1040,1836,,1108,1076,1121,1008,1121,1268,1205
Scotland,,2020-05-03,954,1678,,1117,1006,1050,1093,1131,1093,1166
Scotland,,2020-05-10,1076,1435,,1020,1047,1119,967,1018,1244,1083
Scotland,,2020-05-17,1042,1421,,1103,1010,1115,977,1115,1214,1228
Scotland,,2020-05-24,1098,1226,,1039,994,1063,1070,1061,1100,1086
Scotland,,2020-05-31,1055,1128,,1043,999,1015,998,1029,848,1086
Scotland,,2020-06-07,1150,1093,,1106,1023,1076,1033,1042,1207,1145
Scotland,,2020-06-14,1054,1034,,1038,988,1031,915,1028,1186,1161
Scotland,,2020-06-21,1055,1065,,1025,994,1032,993,1053,1136,1054
Scotland,,2020-06-28,1095,1008,,1032,1007,994,1046,1051,1137,1128
Scotland,,2020-07-05,1087,983,,1040,988,1040,1041,981,1102,1068
Scotland,,2020-07-12,1127,977,,1011,1022,1014,1002,1077,1184,1095
Scotland,,2020-07-19,1126,1033,,1023,1041,1025,928,964,1138,1033
Scotland,,2020-07-26,1155,962,,956,979,978,933,1041,1183,1104
Scotland,,2020-08-02,1073,1043,,985,987,1011,969,1020,1125,1106
Scotland,,2020-08-09,1099,1011,,1043,997,1002,953,1018,1138,1122
Scotland,,2020-08-16,1171,928,,969,982,1004,978,1028,1175,1104
Scotland,,2020-08-23,1129,1046,,982,1017,1045,941,1011,1086,1115
Scotland,,2020-08-30,1180,1030,,954,1039,980,930,1013,1071,1060
Scotland,,2020-09-06,1130,1050,,977,1007,1006,970,980,1129,1090
Scotland,,2020-09-13,1259,1069,,991,983,972,1020,1074,1135,1007
Scotland,,2020-09-20,1228,952,,1001,966,1049,946,1071,1001,1120
Scotland,,2020-09-27,1255,933,,1010,1009,1056,1015,1142,1250,1105
Scotland,,2020-10-04,1368,1196,,1008,1072,1016,1042,1051,1296,1145
Scotland,,2020-10-11,1345,1072,,1028,1009,1133,1081,1143,1264,1184
Scotland,,2020-10-18,1323,1134,,989,1070,1067,1031,1153,1243,1190
Scotland,,2020-10-25,1342,1187,,981,1052,1095,1019,1115,1290,1139
Scotland,,2020-11-01,1298,1262,,1116,1032,1062,1085,1101,1278,1189
Scotland,,2020-11-08,1338,1250,,1028,1043,1126,1144,1184,1235,1243
Scotland,,2020-11-15,1277,1338,,1103,1174,1175,1084,1160,1291,1256
Scotland,,2020-11-22,1286,1360,,1054,1132,1178,1058,1229,1271,1238
Scotland,,2020-11-29,1333,1329,,1115,1159,1153,1062,1163,1239,1211
Scotland,,2020-12-06,1326,1296,,1089,1188,1237,1076,1108,1301,1232
Scotland,,2020-12-13,1359,1284,,1101,1219,1335,1212,1312,1321,1292
Scotland,,2020-12-20,1337,1297,,1146,1284,1437,1216,1277,1611,1406
Scotland,,2020-12-27,1085,1205,,944,1133,1168,1058,1000,1198,1061
Scotland,,2021-01-03,,1178,,,,,,,,
Serbia,SRB,2020-01-31,10417,9886,10390.7,10121,9529,13385,9296,10075,11392,9372
Serbia,SRB,2020-02-29,10166,9205,9126.9,9316,8428,9001,9771,9571,13094,8665
Serbia,SRB,2020-03-31,12952,9050,9143.5,9794,8685,8731,9824,9136,11250,8648
Serbia,SRB,2020-04-30,12659,8710,8374.5,9099,8212,8455,8203,8356,8479,7488
Serbia,SRB,2020-05-31,10525,7943,8108.3,8253,8366,8294,7778,8303,8387,8156
Serbia,SRB,2020-06-30,9098,8222,7681.7,7754,7812,7861,7403,8031,7744,7289
Serbia,SRB,2020-07-31,8417,9959,7887.7,8635,7767,7669,7877,7943,7848,7710
Serbia,SRB,2020-08-31,8447,8626,7727.7,7861,7566,7986,7920,7758,9158,7622
Serbia,SRB,2020-09-30,11032,7646,7356.9,7584,7483,7204,7620,7346,8390,6931
Serbia,SRB,2020-10-31,14666,8580,8401.3,8433,8612,8456,8702,8256,8454,8427
Serbia,SRB,2020-11-30,15113,11914,8137.7,8249,8406,8026,8288,8172,7930,8132
Serbia,SRB,2020-12-31,12409,17109,8846.5,8579,9968,8654,8973,8511,8713,8658
Seychelles,SYC,2020-01-31,69,65,68.2,52,52,61,64,80,111,65
Seychelles,SYC,2020-02-29,78,61,65.6,50,56,65,58,67,76,68
Seychelles,SYC,2020-03-31,74,57,69.2,69,68,53,57,67,74,81
Seychelles,SYC,2020-04-30,63,59,72.6,63,72,52,77,67,76,82
Seychelles,SYC,2020-05-31,91,41,70,46,54,81,70,67,80,79
Seychelles,SYC,2020-06-30,108,52,70.2,78,53,61,72,55,80,48
Seychelles,SYC,2020-07-31,98,56,70.6,59,68,63,65,66,78,58
Seychelles,SYC,2020-08-31,66,50,67.6,60,60,78,61,47,76,72
Seychelles,SYC,2020-09-30,72,54,65.2,51,64,49,59,71,63,65
Seychelles,SYC,2020-10-31,72,43,76.4,55,71,71,90,63,81,70
Seychelles,SYC,2020-11-30,59,66,73.2,61,67,61,76,69,72,92
Seychelles,SYC,2020-12-31,75,64,70.2,59,62,53,69,76,74,99
Singapore,SGP,2020-01-31,1871,2091,1887.2,1701,1635,1768,1931,1847,1982,2280
Singapore,SGP,2020-02-29,1769,1762,1699.4,1481,1592,1577,1662,1631,2135,2096
Singapore,SGP,2020-03-31,1924,1891,1881.6,1680,1780,1779,1778,1837,2649,2269
Singapore,SGP,2020-04-30,1938,1913,1784.2,1589,1684,1661,1668,1765,2138,2358
Singapore,SGP,2020-05-31,1975,1874,1901,1725,1728,1902,1829,1767,2249,2450
Singapore,SGP,2020-06-30,1937,1761,1874.8,1827,1585,1925,1748,1735,2110,2208
Singapore,SGP,2020-07-31,1998,1759,1926.2,1781,1859,1842,1791,1804,2391,2156
Singapore,SGP,2020-08-31,1967,1860,1874.2,1689,1747,1751,1806,1824,2346,2210
Singapore,SGP,2020-09-30,1965,1751,1727.8,1554,1583,1590,1655,1703,2125,2113
Singapore,SGP,2020-10-31,2492,1770,1852,1625,1716,1759,1773,1833,2371,2265
Singapore,SGP,2020-11-30,2349,1771,1757.8,1589,1510,1666,1703,1767,2163,2052
Singapore,SGP,2020-12-31,2107,1851,1865.8,1621,1598,1685,1938,1933,2232,2431
Slovakia,SVK,2020-01-05,2089,1147,1163.7,1112,1072,1411,1094,1105,1412,1274
Slovakia,SVK,2020-01-12,2125,1109,1162.7,1187,948,1410,1150,1094,1270,1181
Slovakia,SVK,2020-01-19,1995,1086,1204.9,1210,1026,1390,1198,1176,1221,1153
Slovakia,SVK,2020-01-26,1971,1107,1165.3,1235,982,1355,1095,1135,1174,1059
Slovakia,SVK,2020-02-02,1987,1159,1225.9,1292,1045,1339,1205,1224,1254,1077
Slovakia,SVK,2020-02-09,2081,1101,1198.3,1226,1041,1202,1159,1339,1220,1067
Slovakia,SVK,2020-02-16,2009,1181,1193.3,1275,1051,1224,1140,1252,1365,1035
Slovakia,SVK,2020-02-23,1963,1088,1194.9,1266,1023,1115,1292,1254,1314,1089
Slovakia,SVK,2020-03-01,1869,1152,1196.5,1235,1003,1159,1353,1208,1395,1104
Slovakia,SVK,2020-03-08,1784,1131,1151.3,1164,1009,1002,1357,1200,1365,1130
Slovakia,SVK,2020-03-15,1677,1122,1106.7,1186,1032,1016,1165,1110,1363,1138
Slovakia,SVK,2020-03-22,1584,1187,1084.7,1102,1026,1092,1111,1068,1300,1118
Slovakia,SVK,2020-03-29,1467,1054,1056.3,1088,999,1017,1128,1025,1266,1062
Slovakia,SVK,2020-04-05,1333,1081,1020.9,1037,1017,989,1051,986,1206,975
Slovakia,SVK,2020-04-12,1309,1003,1050.5,1090,971,1024,1070,1073,1087,1059
Slovakia,SVK,2020-04-19,1253,957,1009.7,1078,1010,1008,944,984,1104,994
Slovakia,SVK,2020-04-26,1166,977,1013.7,1062,988,1023,906,1065,1119,1010
Slovakia,SVK,2020-05-03,1133,970,984.1,980,1019,955,963,979,1070,937
Slovakia,SVK,2020-05-10,1126,1005,959.3,958,988,919,952,955,1017,933
Slovakia,SVK,2020-05-17,999,979,949.1,915,934,925,1004,943,976,870
Slovakia,SVK,2020-05-24,962,953,965.5,975,1004,916,986,922,966,1027
Slovakia,SVK,2020-05-31,1001,913,958.5,926,984,949,985,924,1062,913
Slovakia,SVK,2020-06-07,1000,963,927.1,1017,885,858,922,929,1018,946
Slovakia,SVK,2020-06-14,1048,981,977.1,1004,898,918,955,1086,932,967
Slovakia,SVK,2020-06-21,1090,899,960.1,910,1056,923,891,996,1057,1018
Slovakia,SVK,2020-06-28,968,937,931.5,911,899,977,922,924,1105,941
Slovakia,SVK,2020-07-05,988,982,942.3,1007,909,915,946,910,971,959
Slovakia,SVK,2020-07-12,999,973,946.9,1006,958,900,970,876,994,999
Slovakia,SVK,2020-07-19,896,948,953.3,920,937,969,969,947,1171,951
Slovakia,SVK,2020-07-26,1027,957,1028.3,1131,933,948,1080,1025,1087,924
Slovakia,SVK,2020-08-02,953,985,980.9,861,904,1064,1110,941,1066,925
Slovakia,SVK,2020-08-09,974,1065,969.1,1025,874,990,991,941,1075,870
Slovakia,SVK,2020-08-16,1011,963,965.7,1120,937,958,931,858,1116,996
Slovakia,SVK,2020-08-23,893,960,939.7,923,909,918,961,963,1082,1058
Slovakia,SVK,2020-08-30,996,1023,959.1,934,934,931,940,1032,984,936
Slovakia,SVK,2020-09-06,1041,969,950.5,928,954,953,999,894,1017,967
Slovakia,SVK,2020-09-13,1142,1034,954.5,909,1000,951,952,936,963,983
Slovakia,SVK,2020-09-20,1154,963,983.1,1004,948,977,1019,943,1056,949
Slovakia,SVK,2020-09-27,1103,1042,996.1,947,1003,1023,1007,976,1142,953
Slovakia,SVK,2020-10-04,1214,1135,994.3,904,1029,1039,995,980,1120,931
Slovakia,SVK,2020-10-11,1202,1071,988.3,924,992,1036,1022,943,1105,1037
Slovakia,SVK,2020-10-18,1309,1204,1015.3,975,1071,1004,982,1020,1109,1066
Slovakia,SVK,2020-10-25,1450,1276,985.7,937,1064,919,1043,941,1130,1091
Slovakia,SVK,2020-11-01,1505,1362,1004.7,1031,1028,984,955,1001,1121,1036
Slovakia,SVK,2020-11-08,1675,1437,1011.7,1008,1017,990,1030,989,1037,1025
Slovakia,SVK,2020-11-15,1854,1411,1010.5,970,1063,998,994,1003,1058,1048
Slovakia,SVK,2020-11-22,1923,1371,1013.3,956,1082,997,1021,986,1132,1117
Slovakia,SVK,2020-11-29,1922,1425,1013.1,929,1067,1015,1036,994,1022,1195
Slovakia,SVK,2020-12-06,1897,1458,981.1,948,984,971,1009,969,1137,1182
Slovakia,SVK,2020-12-13,1758,1553,1016.5,952,1067,1003,1034,1002,1269,1185
Slovakia,SVK,2020-12-20,1596,1616,1091.9,1002,1200,1051,1129,1053,1398,1247
Slovakia,SVK,2020-12-27,1493,1793,1097.7,1021,1311,1082,1014,1036,1359,1246
Slovakia,SVK,2021-01-03,,2047,1097.7,,,,,,,
Slovenia,SVN,2020-01-05,606,420,455.3,408,451,479,401,469,473,539
Slovenia,SVN,2020-01-12,624,426,469.9,407,439,536,411,488,494,505
Slovenia,SVN,2020-01-19,591,430,479.5,453,411,586,398,481,463,525
Slovenia,SVN,2020-01-26,530,455,489.1,449,457,569,425,477,483,421
Slovenia,SVN,2020-02-02,526,476,501.1,432,434,599,457,515,592,471
Slovenia,SVN,2020-02-09,435,449,472.7,420,426,523,419,507,544,417
Slovenia,SVN,2020-02-16,428,502,475.7,459,421,466,490,474,562,468
Slovenia,SVN,2020-02-23,470,441,467.1,446,406,459,476,480,467,457
Slovenia,SVN,2020-03-01,442,431,473.3,449,427,439,512,471,488,427
Slovenia,SVN,2020-03-08,444,425,422.7,384,416,369,465,411,477,410
Slovenia,SVN,2020-03-15,444,437,453.1,453,411,397,479,457,461,405
Slovenia,SVN,2020-03-22,424,443,432.1,417,388,418,443,426,432,446
Slovenia,SVN,2020-03-29,442,390,438.9,460,441,413,431,381,435,389
Slovenia,SVN,2020-04-05,406,383,415.1,444,373,357,421,412,430,391
Slovenia,SVN,2020-04-12,421,424,382.5,423,339,348,390,344,430,374
Slovenia,SVN,2020-04-19,458,433,412.9,420,399,385,390,402,441,407
Slovenia,SVN,2020-04-26,383,392,393.3,388,351,371,400,388,412,381
Slovenia,SVN,2020-05-03,390,356,377.9,387,367,355,345,367,384,394
Slovenia,SVN,2020-05-10,401,381,374.3,362,358,358,367,358,395,399
Slovenia,SVN,2020-05-17,408,354,368.5,327,346,360,348,393,392,360
Slovenia,SVN,2020-05-24,390,405,367.3,318,355,347,353,395,368,405
Slovenia,SVN,2020-05-31,414,330,363.3,333,334,371,366,344,381,373
Slovenia,SVN,2020-06-07,389,345,360.1,364,347,348,360,313,367,357
Slovenia,SVN,2020-06-14,396,377,353.3,325,348,342,338,345,370,373
Slovenia,SVN,2020-06-21,381,374,359.1,323,335,348,354,367,374,411
Slovenia,SVN,2020-06-28,383,408,338.9,310,334,334,317,331,413,382
Slovenia,SVN,2020-07-05,342,371,367.9,384,347,369,322,349,382,368
Slovenia,SVN,2020-07-12,339,328,357.7,377,370,328,318,327,380,430
Slovenia,SVN,2020-07-19,332,352,368.1,381,312,354,374,351,459,357
Slovenia,SVN,2020-07-26,375,369,380.5,393,342,328,364,407,380,377
Slovenia,SVN,2020-08-02,330,393,365.9,332,319,347,399,364,418,360
Slovenia,SVN,2020-08-09,353,370,363.3,333,326,319,390,380,433,370
Slovenia,SVN,2020-08-16,327,392,366.5,373,355,354,337,345,404,379
Slovenia,SVN,2020-08-23,334,353,372.9,337,343,350,381,385,383,390
Slovenia,SVN,2020-08-30,400,341,372.7,337,373,380,365,340,330,343
Slovenia,SVN,2020-09-06,418,370,349.1,315,332,339,358,333,355,343
Slovenia,SVN,2020-09-13,405,393,371.9,309,363,340,391,388,393,355
Slovenia,SVN,2020-09-20,423,421,374.9,360,358,364,382,342,356,399
Slovenia,SVN,2020-09-27,432,354,364.1,315,355,374,342,366,410,368
Slovenia,SVN,2020-10-04,412,412,389.1,341,369,398,390,379,416,385
Slovenia,SVN,2020-10-11,453,415,395.5,391,390,370,371,387,410,401
Slovenia,SVN,2020-10-18,471,441,385.5,354,375,376,371,383,391,435
Slovenia,SVN,2020-10-25,467,514,396.3,382,395,350,417,369,394,429
Slovenia,SVN,2020-11-01,546,595,385.7,408,341,385,393,333,408,417
Slovenia,SVN,2020-11-08,585,624,386.9,379,374,380,348,385,384,399
Slovenia,SVN,2020-11-15,587,739,402.9,376,381,393,392,404,445,426
Slovenia,SVN,2020-11-22,542,731,385.9,358,366,391,384,362,458,453
Slovenia,SVN,2020-11-29,589,792,386.1,378,357,362,406,359,438,420
Slovenia,SVN,2020-12-06,528,801,414.9,370,394,399,407,436,479,487
Slovenia,SVN,2020-12-13,500,784,420.9,433,347,390,422,444,494,498
Slovenia,SVN,2020-12-20,479,717,420.3,359,413,397,427,437,566,492
Slovenia,SVN,2020-12-27,494,686,424.1,347,466,422,421,396,547,504
Slovenia,SVN,2021-01-03,,660,424.1,,,,,,,
South Africa,ZAF,2020-01-05,23422,10423,10181.9,10001,11576,9938,10251,9792,12460,10093
South Africa,ZAF,2020-01-12,24842,9646,9261.5,9603,8995,9264,9499,9595,11365,10380
South Africa,ZAF,2020-01-19,21688,9246,9042.9,9098,8961,8972,9276,9556,10362,10317
South Africa,ZAF,2020-01-26,15741,8611,8896.3,9559,9040,8971,8653,8907,9830,9848
South Africa,ZAF,2020-02-02,13781,9384,9223.1,10096,9454,9135,9014,9065,10224,9490
South Africa,ZAF,2020-02-09,12129,10064,9336.1,10090,9250,9366,9158,9465,9945,9375
South Africa,ZAF,2020-02-16,11402,9257,8998.7,9384,9309,8991,8860,9098,9604,9267
South Africa,ZAF,2020-02-23,10677,9300,8950.5,9396,9232,8870,8864,9039,9761,9454
South Africa,ZAF,2020-03-01,10921,9002,9397.1,10080,9446,9448,9181,9479,10109,9658
South Africa,ZAF,2020-03-08,10878,9806,9336.1,9571,9356,9305,9427,9670,10100,10205
South Africa,ZAF,2020-03-15,10115,9363,9117.5,9429,9261,9282,9093,9171,9689,9541
South Africa,ZAF,2020-03-22,10129,9094,9006.5,9087,9357,8763,9321,9153,9830,9691
South Africa,ZAF,2020-03-29,10586,9014,9394.3,9638,9752,9251,9690,9289,10101,9683
South Africa,ZAF,2020-04-05,10814,8745,9664.9,9922,9716,9577,10125,9633,10106,10166
South Africa,ZAF,2020-04-12,10780,8604,9427.7,9866,9815,9056,9414,9636,10976,10125
South Africa,ZAF,2020-04-19,10605,8469,9384.3,9607,9220,9754,9591,9398,10426,9799
South Africa,ZAF,2020-04-26,10898,8192,9636.9,10074,9507,9582,9779,9891,10756,10336
South Africa,ZAF,2020-05-03,11447,8258,10176.3,10658,10533,9991,10123,10225,11561,10431
South Africa,ZAF,2020-05-10,11690,8720,10168.9,10447,10493,9671,10420,10462,11602,10736
South Africa,ZAF,2020-05-17,11732,8960,10248.5,10371,10266,10549,10525,10180,11158,11129
South Africa,ZAF,2020-05-24,12256,9132,10137.7,10775,10203,9794,10193,10372,11718,11725
South Africa,ZAF,2020-05-31,13540,9810,10834.9,11881,10926,10182,10888,10946,12062,12371
South Africa,ZAF,2020-06-07,14295,10465,11485.1,12322,11350,10754,11834,11814,12356,12568
South Africa,ZAF,2020-06-14,13916,10967,11504.5,12403,11597,10655,11521,11995,12461,11965
South Africa,ZAF,2020-06-21,15710,12350,11331.7,11968,10898,10446,11600,12395,11952,11569
South Africa,ZAF,2020-06-28,17345,12943,11406.3,11886,11488,11218,11254,11834,12292,11423
South Africa,ZAF,2020-07-05,18881,13921,11616.3,11405,12167,11527,11990,11641,11936,11531
South Africa,ZAF,2020-07-12,21364,15185,11066.5,11139,11453,11262,10908,11219,11213,12057
South Africa,ZAF,2020-07-19,20402,16637,10865.1,10706,11031,11406,11223,10608,10872,11170
South Africa,ZAF,2020-07-26,19062,16508,10563.3,10062,11517,10845,10309,10732,10865,11060
South Africa,ZAF,2020-08-02,17446,15575,11059.1,11720,11649,11024,10648,10903,11193,11359
South Africa,ZAF,2020-08-09,15636,14142,10927.9,11138,11334,11052,10744,11020,10877,11227
South Africa,ZAF,2020-08-16,15772,12679,10639.9,10265,11038,11205,10689,10651,10779,10785
South Africa,ZAF,2020-08-23,14868,12339,10440.7,10260,10660,11548,10124,10260,10898,10074
South Africa,ZAF,2020-08-30,14694,11503,10419.9,10224,10794,11168,10540,10022,10826,10274
South Africa,ZAF,2020-09-06,13682,11344,10693.9,10217,10813,11441,11079,10568,11096,10410
South Africa,ZAF,2020-09-13,12176,10442,10178.5,9958,10125,10568,10758,10132,10455,10418
South Africa,ZAF,2020-09-20,11798,9966,10074.3,10143,9958,10435,10500,9984,10228,10234
South Africa,ZAF,2020-09-27,11158,10230,9969.5,10325,9985,10235,10394,9557,10359,10147
South Africa,ZAF,2020-10-04,11157,9908,10384.3,10521,10620,10694,10494,10241,11024,10531
South Africa,ZAF,2020-10-11,11030,10487,9860.5,9784,9816,10536,10067,9748,10327,9979
South Africa,ZAF,2020-10-18,10454,10546,9546.3,9381,9681,10035,9653,9630,9616,9826
South Africa,ZAF,2020-10-25,10058,10415,9575.3,9569,9753,9886,9729,9588,9289,9759
South Africa,ZAF,2020-11-01,11032,10264,9930.9,10005,10289,10476,9878,9655,9969,10405
South Africa,ZAF,2020-11-08,10983,10444,9702.9,10529,9293,9764,9660,9917,9844,10176
South Africa,ZAF,2020-11-15,10369,10830,9426.7,9441,9232,9870,9940,9299,9839,9609
South Africa,ZAF,2020-11-22,10168,10710,9298.5,9360,9313,9726,9431,9311,9647,10748
South Africa,ZAF,2020-11-29,11500,10557,9959.1,10478,10355,9819,9813,9979,10127,10548
South Africa,ZAF,2020-12-06,11313,11839,10018.1,10553,9754,10069,10062,10301,10087,10239
South Africa,ZAF,2020-12-13,11992,12749,9602.3,9928,9738,9732,9542,9720,10005,9662
South Africa,ZAF,2020-12-20,13337,14262,10245.3,10665,10325,10268,10448,10169,10217,10545
South Africa,ZAF,2020-12-27,13600,17449,10188.9,10551,9606,10082,10812,10542,10510,10243
South Africa,ZAF,2021-01-03,,20162,10188.9,,,,,,,
South Korea,KOR,2020-01-05,6217,6438,6413.6,5699,5500,5958,7000,6292,6855,7660
South Korea,KOR,2020-01-12,6332,6320,6449.2,5622,5569,5891,7135,6410,6741,7583
South Korea,KOR,2020-01-19,6189,6403,6411,5551,5595,5751,7370,6169,6723,6968
South Korea,KOR,2020-01-26,5838,6490,6333.8,5601,5659,5720,7014,6056,6740,7212
South Korea,KOR,2020-02-02,6073,6434,6338.2,5588,5717,6003,6888,5876,6646,7215
South Korea,KOR,2020-02-09,5779,6431,6177.8,5617,5915,5718,6392,5628,7046,6894
South Korea,KOR,2020-02-16,6076,6161,6179.2,5738,6053,5720,6094,5672,7081,6835
South Korea,KOR,2020-02-23,5908,5970,6224.4,5784,6028,5636,6211,5844,7844,6711
South Korea,KOR,2020-03-01,5950,6012,6193.8,6070,6105,5554,5938,5683,8877,6625
South Korea,KOR,2020-03-08,6100,5961,6121.6,6090,5679,5440,5940,5840,9684,6670
South Korea,KOR,2020-03-15,6036,5933,6039.4,6050,5653,5625,5739,5511,10526,6377
South Korea,KOR,2020-03-22,5896,5838,5936.2,6040,5550,5342,5508,5622,10588,6466
South Korea,KOR,2020-03-29,5920,5708,5918.8,5778,5522,5425,5560,5690,10332,6565
South Korea,KOR,2020-04-05,5836,5649,5925.2,5801,5456,5550,5573,5627,9686,6237
South Korea,KOR,2020-04-12,5937,5874,5771.4,5545,5173,5295,5632,5593,8927,6476
South Korea,KOR,2020-04-19,5822,5745,5841,5380,5408,5475,5621,5702,7953,6474
South Korea,KOR,2020-04-26,5767,5578,5689.2,5453,5195,5338,5471,5370,7189,6445
South Korea,KOR,2020-05-03,5859,5982,5789.4,5481,5379,5502,5519,5447,6816,6536
South Korea,KOR,2020-05-10,5943,5529,5677,5129,5236,5312,5477,5612,6776,6482
South Korea,KOR,2020-05-17,5559,5437,5697,5202,5166,5285,5451,5762,6360,6583
South Korea,KOR,2020-05-24,5780,5496,5592.6,5069,5209,5327,5312,5427,6312,6378
South Korea,KOR,2020-05-31,5659,5390,5636.2,5242,5014,5334,5436,5536,6049,6408
South Korea,KOR,2020-06-07,5707,5636,5510.8,5129,4943,5023,5439,5401,5751,6335
South Korea,KOR,2020-06-14,5639,5540,5449.8,4942,4961,5190,5208,5329,5803,6358
South Korea,KOR,2020-06-21,5724,5440,5494.2,5067,4993,5191,5220,5381,5735,6192
South Korea,KOR,2020-06-28,5707,5435,5437.2,4868,5027,5042,5196,5434,5812,6109
South Korea,KOR,2020-07-05,5690,5422,5418,4947,4883,5045,5233,5363,5912,6028
South Korea,KOR,2020-07-12,5710,5210,5377.2,4943,5033,4884,5237,5170,5865,6297
South Korea,KOR,2020-07-19,5879,5437,5369.2,4809,4834,4966,5482,5136,5712,6255
South Korea,KOR,2020-07-26,6012,5522,5496.6,4732,5166,5138,5539,5289,6198,6552
South Korea,KOR,2020-08-02,5902,5507,5592.8,5005,4899,5252,5843,5346,6418,6978
South Korea,KOR,2020-08-09,5820,5421,5571.4,4916,5190,5253,5456,5423,6485,6982
South Korea,KOR,2020-08-16,5853,5690,5427,4733,5181,5014,5332,5256,6984,6728
South Korea,KOR,2020-08-23,5822,5954,5468,4874,5161,5127,5295,5264,6989,6806
South Korea,KOR,2020-08-30,5844,5814,5455.4,4737,5129,5213,5127,5452,6998,6622
South Korea,KOR,2020-09-06,5984,5617,5546,4935,5056,5264,5343,5513,6825,6739
South Korea,KOR,2020-09-13,5968,5630,5522.8,4948,4984,5337,5480,5246,7116,6512
South Korea,KOR,2020-09-20,6016,5733,5556,5007,5192,5244,5216,5502,6650,6189
South Korea,KOR,2020-09-27,6099,5763,5643.4,4987,5375,5239,5342,5655,6515,6315
South Korea,KOR,2020-10-04,6099,5776,5756.6,5180,5328,5351,5633,5672,6459,
South Korea,KOR,2020-10-11,6117,5951,5747.2,5102,5290,5495,5577,5653,6636,
South Korea,KOR,2020-10-18,6358,5884,5891.6,5387,5275,5609,5636,5932,6755,
South Korea,KOR,2020-10-25,6562,6043,5868.2,5248,5340,5697,5604,5833,6964,
South Korea,KOR,2020-11-01,6473,6081,5887.4,5082,5492,5638,5778,5828,6882,
South Korea,KOR,2020-11-08,6490,6062,5915.6,5403,5387,5645,5790,5734,7082,
South Korea,KOR,2020-11-15,6667,6029,5903,5229,5490,5684,5494,5999,7184,
South Korea,KOR,2020-11-22,6682,5943,5901.8,5196,5343,5760,5598,5993,7019,
South Korea,KOR,2020-11-29,6955,5802,5977.4,5293,5580,5737,5667,5991,7113,
South Korea,KOR,2020-12-06,7067,6161,5986.8,5356,5510,5810,5780,5859,7383,
South Korea,KOR,2020-12-13,7236,6027,6109,5361,5648,5864,5958,6095,7485,
South Korea,KOR,2020-12-20,7234,5922,6212.6,5222,5845,6189,6140,6048,7723,
South Korea,KOR,2020-12-27,7106,6138,6251.6,5232,5941,6446,6106,5914,7741,
South Korea,KOR,2021-01-03,,6161,6251.6,,,,,,,
Spain,ESP,2020-01-05,10470,8710,9915,9605,8658,10726,11204,9127,9953,9922
Spain,ESP,2020-01-12,11858,9398,10337,10415,8671,11414,10905,10025,10670,10051
Spain,ESP,2020-01-19,12950,9917,10515,10738,8791,11334,10981,10476,10855,9903
Spain,ESP,2020-01-26,12701,9954,10180.8,10625,8491,11068,10324,10141,11205,9713
Spain,ESP,2020-02-02,11571,9974,10051,11046,8461,10636,9893,9964,10886,10167
Spain,ESP,2020-02-09,10368,9192,9770.8,10682,8556,9660,10015,9686,10103,10185
